year,artist_name,title,artist_hotttnesss
2004,Akon,I Won't,0.826777013491
2006,Akon / Red Café,Shake Down,0.826777013491
2003,Alicia Keys,You Don't Know My Name,0.778673579184
2003,Alicia Keys,Feeling U_ Feeling Me (Interlude),0.778673579184
2003,Alicia Keys,Heartburn,0.778673579184
2009,Alicia Keys,Wait Til You See My Smile,0.778673579184
2005,Alicia Keys featuring Tony! Toni! Toné! and Jermaine Paul,Diary,0.778673579184
2005,Alicia Keys featuring Tony! Toni! Toné! and Jermaine Paul,Diary,0.778673579184
2003,Billy Currington,When She Gets Close To Me,0.752100873183
2005,Black Eyed Peas,Don't Lie,1.00594196595
2009,Black Eyed Peas,Boom Boom Pow,1.00594196595
2007,Bon Jovi,Summertime,0.776303263519
2004,Bon Jovi,Why Aren't You Dead?,0.776303263519
2005,Bruce Springsteen,Devils & Dust,0.807587096405
1987,Bruce Springsteen,Cautious Man,0.807587096405
1978,Bruce Springsteen,Streets Of Fire,0.838095532425
1994,Bruce Springsteen,Streets Of Philadelphia,0.838095532425
1999,Coldplay,Only Superstition,0.916053228284
2000,Coldplay,Trouble,0.916053228284
2008,Coldplay,Now My Feet Won't Touch The Ground,0.916053228284
1997,Daft Punk,Teachers (Extended Mix),1.02125558749
2007,Deadmau5,Not Exactly,0.755817702881
2009,Eminem,Same Song & Dance,0.804830427831
1999,Eminem,Still Don't Give,0.804830427831
2002,Green Day,I Want To Be On TV (Album Version),0.812307796139
2001,Green Day,Stuck With Me (Album Version),0.812307796139
2009,Jason Aldean,Wide Open,0.849291004465
2007,Jason Mraz,Sleeping To Dream (Live From Montalvo),0.793412622763
2005,Jason Mraz,Life Is Wonderful  (Album Version),0.793412622763
2004,Jimmy Eat World,Drugs Or Me,0.757673698624
2004,Jimmy Eat World,Drugs Or Me,0.757673698624
2008,Josh Groban,Awake [Live],0.755149913058
2006,Josh Groban,Machine [With Herbie Hancock] (Album Version),0.755149913058
2004,Josh Groban,America (Revised Live Version),0.755149913058
2004,Kings Of Leon,Milk,0.788805935162
2004,Kings Of Leon,Four Kicks,0.788805935162
2000,Linkin Park,By Myself (Album Version),0.79114300239
2000,Linkin Park,Pushing Me Away (Album Version),0.79114300239
2003,Linkin Park,Papercut (Live In Texas),0.79114300239
2005,Mariah Carey,Mine Again,0.787005468689
2005,Mariah Carey,Don't Forget About Us,0.787005468689
1997,Mariah Carey,Babydoll,0.787005468689
2005,Mariah Carey,Don't Forget About Us,0.787005468689
1990,Mariah Carey,Vision Of Love,0.787005468689
2002,Maroon 5,Sunday Morning,0.84338027443
2003,Michael Bublé,I'll Be Home For Christmas (Album Version),0.840963346455
2005,Michael Bublé,Summer Wind (Live),0.792990130445
2010,Michael Bublé,I'm Beginning To See The Light (Album Version),0.792990130445
1984,Michael Jackson,Melodie,0.766545450757
1987,Michael Jackson,Man In The Mirror,0.899991594263
1972,Michael Jackson,Ben,0.899991594263
2001,My Chemical Romance,Cubicles,0.76607616442
2007,Natasha Bedingfield,How Do You Do,0.769674279295
2004,Nelly,N Dey Say,0.787994622198
2005,Nelly featuring Kelly Rowland,Dilemma,0.771103434166
2003,Nickelback,Because Of You (Album Version),0.779968004597
1999,Nickelback,One Last Run (Album Version),0.814334502977
2005,Nickelback,Next Contestant (Album Version),0.778894735062
2009,OneRepublic,Missing Persons 1 & 2,0.792047551477
2005,Plain White T S,Last Call,0.823564999397
2003,R. Kelly,Step In The Name Of Love,0.783843023046
1998,R. Kelly featuring Suzanne LeMignot,The Interview,0.783843023046
2008,Rihanna,Disturbia,0.908202619208
2008,Rihanna,Take A Bow,0.908202619208
2009,Rihanna / Slash,ROCKSTAR 101,0.908202619208
2001,Shakira,Fool,0.804219797447
2009,Shakira,Loba,0.804219797447
2004,T.I.,ASAP (Explicit Album Version),0.872838920624
2008,Taylor Swift,Love Story,0.872447223164
2008,The Killers,Spaceman,0.819588282229
1996,Train,Homesick,0.783677407954
1988,U2,All I Want Is You,0.750311503248
1980,U2,Twilight,0.750311503248
2009,U2,Cedars Of Lebanon,0.825639110796
1992,U2,Mofo,0.750311503248
1981,U2,Stranger In A Strange Land,0.825639110796
2009,U2,Breathe,0.750311503248
1980,U2,11 O'Clock Tick Tock,0.750311503248
1995,Weezer,Susanne,0.776167742324
2001,Weezer,Simple Pages,0.776167742324
1983,Wham!,A Ray Of Sunshine,0.750584100563
